score,adsh,form,file_date,file_type,file_description,root_forms,ciks,display_names,_id
15.181922,0000950157-19-001082,8-K,2019-09-26,EX-99.1,"FIRST AMENDED JOINT CHAPTER 11 PLAN OF REORGANIZATION DATED AS OF SEPTEMBER 23, 2019",8-K,"0001004980,0000075488","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980) | PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",0000950157-19-001082:ex99-1.htm
15.120363,0000827052-24-000078,8-K,2024-10-30,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED OCTOBER 29, 2024",8-K,"0000827052,0000092103",EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (CIK 0000092103),0000827052-24-000078:eix-20241029xex99d1.htm
15.117938,0000827052-23-000040,8-K,2023-05-03,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED MAY 3, 2023",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-23-000040:eix-20230503xex99d1.htm
15.106203,0000827052-24-000038,8-K,2024-05-01,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED APRIL 30, 2024",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-24-000038:eix-20240430xex99d1.htm
15.078738,0000827052-25-000102,8-K,2025-10-29,EX-99.1,"EX-99.1 BUSINESS UPDATE PRESENTATION DATE OCTOBER 28, 2025",8-K,"0000827052,0000092103",EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (CIK 0000092103),0000827052-25-000102:a10eixoctober2025busines.htm
15.078503,0000827052-21-000063,10-Q,2021-11-02,10-Q,EIX/SCE Q3 10-Q,10-Q,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-21-000063:eix-20210930x10q.htm
15.0734415,0001558370-21-009710,8-K,2021-07-30,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED JULY 30, 2021",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0001558370-21-009710:eix-20210730xex99d1.htm
15.072248,0000827052-26-000015,8-K,2026-02-19,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED FEBRUARY 18, 2026",8-K,"0000827052,0000092103",EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (CIK 0000092103),0000827052-26-000015:a02eixfebruary2026busine.htm
15.069776,0000904454-19-000626,SC 13D/A,2019-09-11,SC 13D/A,"SCHEDULE 13D/A FOR PG&E CORPORATION BY ABRAMS CAPITAL MANAGEMENT, L.P.",SC 13D,"0001004980,0001358706","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980) | ABRAMS CAPITAL MANAGEMENT, L.P.  (CIK 0001358706)",0000904454-19-000626:s13da_09102019-pgecorp.htm
15.061366,0000827052-24-000054,8-K,2024-07-25,EX-99.3,"EX-99.3 EIX Q2 2024 FINANCIAL RESULTS PRESENTATION DATED JULY 25, 2024",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-24-000054:eix-20240725xex99d3.htm
15.060366,0000827052-25-000046,8-K,2025-04-30,EX-99.1,"EX-99.1 BUSINESS UPDATE PRESENTATION DATE APRIL 29, 2025",8-K,"0000827052,0000092103",EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (CIK 0000092103),0000827052-25-000046:a04eixapril2025businessu.htm
15.059363,0000950157-19-000984,8-K,2019-09-10,EX-99.1,"JOINT CHAPTER 11 PLAN OF REORGANIZATION FOR PG&E CORPORATION AND PACIFIC GAS AND ELECTRIC COMPANY, DATED AS OF SEPTEMBER 9, 2019",8-K,"0001004980,0000075488","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980) | PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",0000950157-19-000984:ex99-1.htm
15.057015,0000086521-12-000027,CORRESP,2012-04-30,CORRESP,,CORRESP,"0000086521,0001032208","SAN DIEGO GAS & ELECTRIC CO  (CIK 0000086521) | SEMPRA ENERGY  (SRE, SREA)  (CIK 0001032208)",0000086521-12-000027:filename1.htm
